Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,184.500000,185.800003,155.550003,168.050003,163.372452,10872119
2020-12-23,168.699997,179.600006,167.649994,169.899994,165.170959,3379373
2020-12-30,171.300003,173.399994,168.500000,169.399994,164.684860,4268215
2021-01-06,170.199997,183.899994,169.750000,183.199997,178.100769,9391008
2021-01-13,184.000000,187.899994,172.399994,182.199997,177.128616,6890727
2021-01-20,182.149994,185.300003,175.449997,177.399994,172.462204,2958653
2021-01-27,176.949997,182.750000,163.199997,164.649994,160.067078,4922763
2021-02-03,164.899994,167.500000,157.050003,160.100006,155.643738,7482675
2021-02-10,160.949997,162.800003,157.000000,157.449997,153.067490,3673040
2021-02-17,157.750000,182.000000,157.000000,179.399994,177.193466,10852475
2021-02-24,180.500000,193.300003,172.699997,189.100006,186.774185,10353798
2021-03-03,190.000000,224.899994,187.600006,218.050003,215.368118,36852161
2021-03-10,220.000000,227.000000,201.000000,203.199997,200.700745,8280917
2021-03-17,206.149994,214.550003,190.149994,208.550003,205.984955,10111232
2021-03-24,208.800003,222.399994,202.100006,206.149994,203.614471,11306685
2021-03-31,205.399994,219.199997,197.000000,211.100006,208.503586,7762399
2021-04-07,211.449997,248.449997,209.100006,237.600006,234.677658,20641253
2021-04-14,237.600006,272.000000,232.600006,250.449997,247.369598,23496622
2021-04-21,250.449997,278.700012,247.600006,258.450012,255.271225,11265670
2021-04-28,261.500000,344.799988,261.500000,298.950012,295.273102,40907166
2021-05-05,304.899994,349.149994,303.200012,326.149994,322.138519,21738737
2021-05-12,329.700012,333.000000,292.100006,312.200012,308.360138,9390135
2021-05-19,312.500000,329.899994,291.049988,297.299988,293.643372,11011565
2021-05-26,297.600006,312.000000,291.799988,303.700012,299.964661,9278364
2021-06-02,305.000000,357.000000,301.299988,348.250000,343.966705,16235471
2021-06-09,348.600006,363.399994,328.049988,348.350006,344.065491,8717741
2021-06-16,348.100006,352.700012,314.500000,330.649994,326.583191,5951407
2021-06-23,333.000000,370.000000,325.100006,364.250000,359.769897,13407602
2021-06-30,365.000000,365.750000,344.000000,345.399994,341.151764,5325771
2021-07-07,345.000000,358.000000,333.899994,350.200012,345.892761,5792895
2021-07-14,351.399994,354.399994,327.299988,336.100006,331.966156,4241509
2021-07-21,336.100006,357.950012,336.100006,349.899994,345.596405,3997936
2021-07-28,349.000000,386.799988,341.299988,365.549988,361.053925,11501943
2021-08-04,365.000000,365.899994,335.250000,341.299988,337.102203,10510736
2021-08-11,345.299988,362.549988,338.299988,360.299988,355.868469,8617845
2021-08-18,359.000000,368.399994,350.000000,358.950012,354.535095,5150275
2021-08-25,358.000000,378.950012,356.950012,369.049988,364.510864,7392636
2021-09-01,372.000000,378.399994,355.100006,357.750000,353.349854,6383560
2021-09-08,359.600006,370.000000,353.549988,360.100006,355.670990,2832575
2021-09-15,361.399994,366.000000,339.500000,343.500000,339.275146,5156776
2021-09-22,346.500000,369.600006,343.149994,352.700012,348.362000,5954850
2021-09-29,350.100006,395.000000,349.100006,384.500000,379.770844,10439232
2021-10-06,386.000000,388.750000,366.399994,377.850006,373.202667,5904661
2021-10-13,377.850006,398.000000,362.750000,370.049988,365.498596,6166319
2021-10-20,369.899994,370.250000,297.600006,332.149994,328.064728,12864208
2021-10-27,334.000000,338.000000,313.000000,334.250000,330.138916,4117729
2021-11-03,333.899994,340.000000,325.500000,326.950012,322.928680,2752301
2021-11-10,327.299988,346.450012,326.100006,331.000000,326.928894,6282881
2021-11-17,332.700012,337.500000,302.500000,318.149994,314.236938,2581177
2021-11-24,321.700012,334.350006,301.600006,311.649994,307.816864,4126693
2021-12-01,326.000000,334.899994,315.000000,323.500000,319.521149,3535978
2021-12-08,325.000000,345.799988,320.000000,333.399994,329.299377,6184720
2021-12-15,329.799988,331.750000,299.000000,307.500000,303.717926,3219910
2021-12-22,310.000000,344.950012,307.549988,343.000000,338.781311,5037331
2021-12-29,344.700012,429.850006,344.149994,427.299988,422.044434,31532450
2022-01-05,424.399994,437.500000,409.750000,419.450012,414.291016,25291899
2022-01-12,421.649994,459.000000,419.100006,439.899994,434.489441,27076222
2022-01-19,441.000000,459.850006,382.100006,413.000000,407.920349,18268026
2022-01-26,413.000000,436.350006,402.600006,425.200012,419.970276,9662482
2022-02-02,426.000000,456.899994,405.549988,427.500000,422.241974,25841782
2022-02-09,430.000000,448.700012,394.500000,418.500000,413.352661,10944814
2022-02-16,420.500000,423.250000,365.549988,397.250000,394.602020,11773573
2022-02-23,400.000000,411.899994,374.049988,397.000000,394.353699,13245752
2022-03-02,397.000000,455.750000,393.700012,433.200012,430.312408,25146662
2022-03-09,439.000000,515.000000,431.649994,466.700012,463.589111,56422602
2022-03-16,474.000000,521.400024,471.250000,491.399994,488.124451,29700682
2022-03-23,494.000000,504.000000,466.950012,471.700012,468.555756,16340341
2022-03-30,475.350006,515.000000,470.149994,502.950012,499.597473,18024990
2022-04-06,502.000000,525.900024,489.850006,500.350006,497.014801,19935823
2022-04-13,502.799988,511.750000,473.200012,484.799988,481.568420,13697924
2022-04-20,488.000000,508.700012,448.600006,473.450012,470.294098,20035194
2022-04-27,466.500000,473.250000,435.200012,446.200012,443.225739,10639668
2022-05-04,448.899994,457.350006,395.700012,397.549988,394.900024,14070503
2022-05-11,401.000000,422.899994,377.500000,420.700012,417.895721,15450876
2022-05-18,423.950012,432.200012,371.649994,389.149994,386.556000,20044641
2022-05-25,385.000000,415.200012,347.100006,404.350006,401.654694,37759105
2022-06-01,404.899994,418.000000,396.049988,413.399994,410.644379,14929694
2022-06-08,409.899994,414.000000,383.200012,395.799988,393.161682,15023185
2022-06-15,395.899994,408.100006,337.100006,363.200012,360.778992,16819109
2022-06-22,360.000000,376.750000,353.000000,367.799988,365.348328,9408474
2022-06-29,364.000000,373.000000,354.649994,361.750000,359.338654,7053441
2022-07-06,361.000000,365.950012,331.000000,359.399994,357.004303,15930751
2022-07-13,365.250000,372.700012,354.700012,369.750000,367.285339,6436191
2022-07-20,371.950012,389.500000,370.250000,373.799988,371.308319,11545227
2022-07-27,373.000000,404.500000,367.600006,400.799988,398.128357,12315669
2022-08-03,402.899994,403.100006,347.100006,352.500000,350.150330,24298048
2022-08-10,353.350006,354.299988,329.000000,341.100006,338.826324,13561478
2022-08-17,342.000000,353.899994,331.100006,352.250000,349.901978,12286557
2022-08-24,354.000000,361.399994,340.299988,350.500000,348.163635,11136915
2022-08-31,350.500000,376.350006,347.649994,373.950012,371.457336,13138120
2022-09-07,374.000000,385.299988,370.000000,376.049988,373.543335,10019703
2022-09-14,371.250000,380.000000,350.600006,377.850006,375.331360,10227918
2022-09-21,380.000000,385.899994,335.149994,341.100006,338.826324,11399044
2022-09-28,340.649994,351.000000,337.000000,348.700012,346.375671,5674002
2022-10-05,348.700012,367.000000,348.700012,351.600006,349.256317,6068142
2022-10-12,353.399994,360.700012,344.350006,347.549988,345.233307,5304137
2022-10-19,349.049988,349.049988,329.549988,332.000000,329.786957,4062744
2022-10-26,332.000000,337.450012,307.299988,330.649994,328.445953,12594258
2022-11-02,331.950012,343.149994,328.399994,332.399994,330.184296,8986909
2022-11-09,335.000000,348.200012,320.850006,347.549988,345.233307,13975069
2022-11-16,349.299988,362.000000,341.600006,358.399994,356.010986,12675824
2022-11-23,359.899994,385.350006,352.500000,381.399994,378.857666,15324806
2022-11-30,383.450012,390.549988,375.649994,380.850006,378.311340,8485423
2022-12-07,379.100006,382.750000,367.100006,368.549988,366.093323,4856790
2022-12-14,370.149994,408.899994,363.399994,406.350006,403.641357,29718353
2022-12-21,408.149994,414.899994,379.299988,396.399994,393.757690,18926149
2022-12-28,395.750000,410.000000,385.500000,396.750000,394.105347,10649577
